소방서명,2020년_평균_현장거리,2021년_평균_현장거리,출동거리_증가율
종로소방서,2.143,3.345,56.078
성동소방서,2.042,3.137,53.649
광진소방서,2.02,3.001,48.573
용산소방서,2.343,3.46,47.691
중부소방서,1.854,2.672,44.088
도봉소방서,2.042,2.916,42.821
마포소방서,1.985,2.809,41.537
중랑소방서,1.835,2.577,40.444
은평소방서,2.158,2.933,35.918
성북소방서,2.068,2.787,34.722
서초소방서,2.696,3.614,34.044
동대문소방서,1.83,2.444,33.56
강남소방서,2.594,3.432,32.332
노원소방서,1.988,2.623,31.946
양천소방서,2.297,3.014,31.234
강서소방서,2.214,2.807,26.799
서대문소방서,2.274,2.858,25.669
구로소방서,2.082,2.602,24.979
강북소방서,2.016,2.48,23.053
영등포소방서,2.087,2.552,22.246
강동소방서,2.416,2.95,22.085
동작소방서,2.79,3.296,18.136
송파소방서,2.613,3.083,17.971
관악소방서,2.233,2.634,17.928
119특수구조단,29.838,29.604,-0.783
